Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encrypted,RAM_Encrypted,RAM_Decrypted
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,gAAAAABn1x_luCZVXOcgkE3UjO5FCmV3tteZ9TSWHmBBDIMSkEsmA6qK-D2ueoxanqZnUNkoToMFPW3Fq1IdoyGUyt35O2R35oVCKFNo0hSZOKldROv0QwI=,gAAAAABn1x_lp-gl6elIN380j459cKSFGsZXRcvehq4JrD2Cm6vatEOHPXR3pxus4-aUHKSGDLey6olV2CT6NF84sYbh6lE1Lg==,4
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,gAAAAABn1x_lnksy1AD3AWFVEpG4ovzRXWKrSz_Ekt2D1KVsBxsId6iAaCh6oS_eq-0VRzed5VRY4JHUrfSehSubnaS7j5WNzyIHFMWpOopSu59LBvLN0Tw=,gAAAAABn1x_lQLR4HgAdUgOPjSr-p6kz1kaAWMHeKmUxeA7m5MPyTlVUeiMj-pfRKGzIbxv9fs29DZzg18eVL2MuGyXNEYnPRw==,32
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,gAAAAABn1x_lInuxDuU5e7qdeLpohFRqnIJiXcI5fkM1BlUWCDD0a-yaVFxhw_q8IJZTdBN0gPCMOajSB7LGfv2W895WPJKYxLtu-kLtpfFj8HuWJYsWL9Y=,gAAAAABn1x_l39EZYCPXkH-g0N8Yl-D-Pkxfpdt6wtR_SRBsJDnhBbZvv9F8eePYKFMlUEWDOKIPSO1iZSVeSWrZU-A9Qbj0YA==,8
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,gAAAAABn1x_lujUUKRt9UmK9cF-E-HxGu6S7Gz4WxOcUQ9NAfrLwkdObq53Yp2exSwzhUpIDOnhXfnlB-lGkPCQ1H3Hm6t1H9XvWrivQXggnE7uoIIpKWGE=,gAAAAABn1x_lyBlpgz7GlbaNETWOwyVdiDvrTCcGGtxkDTME3MfS4-yi0TIyOHBK5zHkAvzsL1snlNJrTa3znBZmTQnUdLu73A==,16
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,gAAAAABn1x_ld58A4eaXFAXuo6A6Zkx_a58hYplek7eGcAa-XTDo17da7QLfBqO0yGvwOcnPDB9eEoh4VvzLwiUHCxDBx7bh7vpNLy3nATWeUzxmBTf0gSo=,gAAAAABn1x_lVELcowt6BRtSeza_u9abFN5bU2SgCAJqhl7Pk6yOge4kcJks5IUCm9Obta9-wlKCYA4_8WTtmXbOSrHnYfR4Jg==,8
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,4420f8ed435ae6dc11e3dc607559dac0f8f97e03fb44dfdbee0d3cad3dfdba7e,gAAAAABn1x_lY6EVDYtIqekCzApyQByty_hRwrMmFOhMbUdhH39Ge_U5aNFQZ_uaAwEBeUAMA5zmfLsW41vDw3XXlmPWSHSBuud1tCR9Ha4URr1mOu1npko=,gAAAAABn1x_l4bsFl5oG4n209aE1_Z8PmmhZjfvhwjcGmD78jSpFrSrTo_KJEnCwnLaDTpt9_wg4YzRf3WwJ3daqCvMR6vIE9g==,32
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,da2d995346a35c31f2cb036ddd79a0f5a9a4140da81b88c8c7419a60fef40691,gAAAAABn1x_l68GOsa1w_1uz0xCS6-mvXSk2Xr42rAJpdvVg4th4A5w-Oo1Jipg7NlHeUZWBAazbuPbPxIWxpqgBaKmW8GqjTBHVtt7aQJWFUwkAk3aWdMY=,gAAAAABn1x_l8_1FmdQtdLf1pLZrMlY-PtKnM1HqDkhHIXW6j7acPit2BA_MrbOoe09JrKVgpofbCmCjMq_arBoEHdwppsTt2A==,16
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,d8763bc92b2968e21aba7a08f16922ca22d9c5248a821c374ced1c8603cde768,gAAAAABn1x_l6ao5YaUWCOKS4skIt0wNOx9Ayh04b7bxPo5hnEXtHEYYZbDvPtGfSt18JTCGciEzMEXqrs7wpF1TS4UZ92uO0_O2qRDgpiDlML14VyeJE0U=,gAAAAABn1x_l3Bi8IfZq_PEmWzJV4H2haa8296iBEKywRwDtfIOZ2IuvliiO9qGHThbufsSzCcCqKV5AxjNA2MhGRC5Av1KpWQ==,32
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,00efcb1507b5ab10a2e80b37f59ea694bd3b66f7ad09eb9310f3cf9b61bbc826,gAAAAABn1x_liObinnYfc7T-iXXAfUmV1ToTNss0Jow9KQcwp1XYkPQaHYt14mzLfCCYlPuUle6oCAGAh36H8g1jVneczdnNUIBVOEiMILuMpFSqaPjg8bg=,gAAAAABn1x_lMCH0eCuNAx0blSAQwzt6e-3Mxel8ytg0kraw5lVf0ivnr43MboZvTr0VKWsGFnvO80jiKvxTNTh5i0z39o6t5Q==,16
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,930869f03827b8fa2e51641ee24f5bddb5e01a20a0d0575dad7f009c3f54e02d,gAAAAABn1x_l-BnVfE6KOhBXzY_owW75lHG3NYMEmx8_nZMZJVjQ0SGM3h4pDlfDD_V2axkXW6OibRmCBMKfk1mG8Rit71xXW0yDmES7XYJTyQ_8ojTlRT8=,gAAAAABn1x_liPqz6SzkHwsfFbjp_l4ua4e4Rh2oNoRmLMZ5_PpLGf55dGRBPTGLxX72pWA0-UnmtNTxQm2hNAcP3TcMO9WPCw==,16
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,02ef9675ecf6c0700c0986428113b2d9f188e11c68256e5bffd9d5d19577984c,gAAAAABn1x_luCmOr5Yu1TM6pk0jWW3foZRrcKQKrC6DTOvGxu3omNARCRzfCGRNc6xS1gMAmU7uzezML8eonIKWvtXZu9ZCeAvraj50y9syn9KxxerjCa4=,gAAAAABn1x_lDqyvxoOnlLxGqfWjF76JjnWPJLMbxzA1bsXvvTAgSDPCKucMT66zHgyb1waXicIf5VfUZFP9Qvtv59FpVZrL2A==,16
Acer,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144,fb3010b57354259609e2272ea204296bd8b47c3d478f52bcd58c35afae20ee9b,gAAAAABn1x_l1quNk-91c7xyiaFc0UXPDmC_omWHWHHoo4CqF5Iy0bapfX_p6dWK_GmY_p5Irv-49tEmp7gTEcemNrtUHKM-aTRh96Co5hWAhTL2h7N1Pxg=,gAAAAABn1x_l-qqKrnvPv-lr6bwvTpASLZ-OBaPoQyLveomPh07iD9YWknBG6gFj0Twzb-fPFJcbDjnQPi8i4zVZLppILC91VA==,16
Asus,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796,cbae35da1050476bf6a78fd4f3dced832ea62d45e530cfadb2ef28a46a34e3e0,gAAAAABn1x_lpSNnAOOxlP6vaPojdwDXCTJKRQVcZtUqaiHQBuYNSFnLSjKWP99cxrXOjjIUJBfS0aahDKqgjPnwcuRePwLt5LHlCTkbM5GGuX0NLNGDBus=,gAAAAABn1x_l_DAaGHiL7mWMhs_7Y1_EJjn8BhkFJH2vKVEeey-yKp0OgQYzzlDs1aIani1TU-kcfLdII1dPkNT8iQfjjrK4dA==,32
Dell,2.3379931041147524,16,1000,14.353883804598643,2.665345934576956,32114.82080257049,ed452aaa31a310735f7ffcd56cb9248651bd8acbd6c69fb96fafc6953236dd84,gAAAAABn1x_lz02OFQAptCDJXU5q5n10c5KHq5yXxTIxmWZzgP8_Z7oFHLtvxaHrmxNG19N41_huA0JrvItKCOsSB7qWVvRSKzm9YZR-6Apj-CKwal4QBN4=,gAAAAABn1x_lIWfFyi88nbnsQz5cpsB_Pl7NWLKqwp18Q38oM7QIVinJjdCppXtjLhlTsJr8riK1z12w_O61F_Rcbg51WepHdw==,16
Dell,3.5071336214950284,16,256,14.006527281573184,2.9526637396085054,9929.514355970863,dec7b1d514c07bbe63b2c519099c481a97e24d85c32cac666b144707e78c6661,gAAAAABn1x_ltk1Crdv6u0kxP8pIaNsJcx4CZEozKMnxIl64ZJfTU_wJx51Ouc6ANjJpsFu2vD7ZRbhi1waekdV9uzPgvmyQmIUtaldMsTO0Gr31d6j7mKA=,gAAAAABn1x_l1Bp-wYJCnFcbbMorP8Cmxo7PlQauiaEAjPMfyulfBkAJY3p6HRqgOgfjyrFIdSZVweBXXGUrQeMf1I_3ZQHqHA==,16
Lenovo,1.511580057511507,8,1000,15.237159097780152,2.7781652022295886,31623.8142296768,2d27e50e39363c6a49605a4ec8e9d736b62c064415b155412dbae2d4829a72c0,gAAAAABn1x_lxvnySAjY-WsU7JqZFICDzcOzteRADOm3RfdR7-8pfa6n0Tng8YnRRNUd9zdPGR83eZz45dD04_ldZMiJtBBRBmphsql_DYecr2kTGmpFYsk=,gAAAAABn1x_lrFY60iPCiH1qVB9P7YnY7KB0QaTuZ33pRpOxhpOp6LWKOPb5Jvp9Ts4z_xJf_6M5mbzcw2ltZeXfejsW_n8Z1g==,8
Lenovo,2.3337479292278607,4,256,14.205743311362054,2.2627738922178398,9264.933977469056,652e45cefdf8571ad409a4c6e3cc79d84c9ebed27f369f963f0cc0107f8f9d21,gAAAAABn1x_lW69QnY1r87BIPHtKXDkgQj3CIT2oCbDOAKn4qmonBch1wOgGSP5R-ePd3TlHD5i-BWjKeMcmIkF9_maTJQslTQA_oMQW1TBeppyZefvDjuY=,gAAAAABn1x_lXaTNSxVlkeC5-UM-xjVU9cbw3Ax0pYx5tTPrFKJWXh1TzVTvRxp3eNQmh7ALgzECmpRH9-z21GX16XyS7fj5GA==,4
HP,2.4954217339773583,4,1000,14.244407402798624,2.2697487345791068,31549.79984535232,0255d396cd032c9138f6ffd46972885178db193b25a91312565920c91edb9178,gAAAAABn1x_lDAEh9YH1p1NXDAGl0MvCK89C6GgWd3C3qgByWKXdVRdaRJGZfIwSKSZLAsRH9C9I5VBZ2QdcaEFD-ns4M9U_O6jDEGDyqcr5qMjD7FsLhGM=,gAAAAABn1x_l4iqZZ59I9r4XolG3Bn9o9PhPt0_Z2xN4UUcRNc9HdsK9ti6U_SJP2x65hWKKjcp4NzLmrN46OzXzdiE_7IimWg==,4
Asus,2.843489007344808,8,512,13.577575661456388,2.5797482457025045,16729.550875026107,625987ba72165c964b59d7fabea4812c983696715f9e3203415281c66406fb89,gAAAAABn1x_lfXc7L2eqKvw67aNhQaYq8L9xvKc4E0EuhlgMaRXN9Yew3OcxOTec04CAvuswNW5G-0K78qY0y-lYQ-FbyL3pV8Qp7su_mEmlmsr8tig4HWo=,gAAAAABn1x_lfVQ7a82kT7JvI-Hfz6EtR36Zq2pRBuHbB_U3aqbTrfxRLg6YJVi_ngYZHF8inkVXsVfNZ16PxG-ZDqdA4cDAYA==,8
Asus,3.799639041031901,8,1000,12.853006544044046,2.151677563878617,31747.60460557713,12b6528f5ac80e5cb439f9a807d261eccd39a7607f80dc1a47c4405a8bd1d483,gAAAAABn1x_lZ5a_2ne03mA0bRD280QCaNDD2NLiGX1lhHCY5H7AJnzFAt_aIXhgMnWnUtIBCb2IoAYWmSgxq_vvYQlKtlHqJe8zYuPiVNzfcyVRZRVaf_w=,gAAAAABn1x_l5c6E7hBQ8w4ouqoUHPPn9lbB6jptuU9_KvrhXk-wcPoZuCQ5ruq3eSgUqccN3FGperO3KQeaKaHA8xdP6gTd7Q==,8
Lenovo,2.3658649859149032,32,1000,13.893586167513153,3.8793710590307815,32817.51657673146,d6ebcbe3ebd36677116c133cb727bdc1c09dd31c53dc2a141ea19ae7e9cbd715,gAAAAABn1x_li0UTv5gNcXeycLdxmRD_W0ur4qcct89qGN3Xisdm4nzMJ89-rBOduzCajT8wuUKIh_0l3qzOmQIMaHQ7UUkIQudD4LFhGFYRtr8y8qwCb2w=,gAAAAABn1x_lhSsszgdVsCQub501uAhOEFQM9Na_WLoCRyFlxXexEcn9cRxXhQfPwxS-pg0LFymPVJkuG5Je7cfx2z4hLC0j0A==,32
Asus,2.367383004740569,32,256,11.710954152610404,2.8619801495267057,10605.76645913327,e768cdc66143f7c83c77a097084ad0d2bf67098c9a661a45762b7ede4fa7d454,gAAAAABn1x_ln_MiIhRHSuNegH0gXmRFKMEJtcCwsZ8Ye18M5BaL8GpmG0oDeQKSTAH9JuPDsySP0D4PX6w4e7jfmhqpZNih5fN0okp5AxbhgwmXyHKWV_4=,gAAAAABn1x_lbveg5bPmoVeia1O8SYXgxZmSOaD6bpQe1X2xhCUSpJXxXaWUn08MIlXm-XWOIzmOiA8_flSUzNIjxVCc699Bdw==,32
Asus,3.343753120274371,32,1000,16.769080033898508,2.839237903307213,32810.02391415497,412ffd74cb04923222c33671aac8652a9aa5789d35a3bf2dcb0107494bb4b3d4,gAAAAABn1x_l7pAzi1YKoImTGlAbwf-OyPoNhuvlE1KnQpNwct4odHN7gn_tJ5FjIeBWqTU1tdXGnlsEHg3vpJLlSnmMjHCW4p2Gsiy5PQg6mKLbQ9SIhsI=,gAAAAABn1x_l2-JQiAvZF8WFCMzNsRTRAa3vrjSA_GRkFTA4v_up_Fjt9Xh1GxALYXLutuNoZ-ALwdfUomAIptTG6A3euK2rzQ==,32
Dell,2.630544852224518,8,512,15.286464581759589,2.9959948827132954,17059.609275297906,0bfcb30df696e40089e724d7d8447b405163b82f2a609ad12db0214db50ead94,gAAAAABn1x_lnf4Yh5U89FLWWwwv66pMR8DEVxif4UF54GDQvOGT2sYCILo7vPK9WKBejflPNKaEVzmpFM3yE26Y4k4hzWRa730buwm4Rj8_1tiVvRUZq2g=,gAAAAABn1x_lr81bwTQiTPhGUi49NrIsk7smAxrQDBDLq7pONORFCqTxEf1zYfeh-TIjlOSnVbF9p1IZns5npaM6kgHdB287Sg==,8
Lenovo,2.061512057349955,8,256,16.71480270012708,3.988388822629165,8973.58968596835,4c2d77ffc3a39a47bc67ccbda5d2f30293c0401cbf87baa33e66a067c594150c,gAAAAABn1x_lVM-6fG3kilbniNiPq2AiguZtpqrr_gRnR4O1ghkngI9XkPVOPjlveUgB_Ul9Bk4XsRVeOdYRR2ssZcCiqFXmFVBwisQkB3rJJOsof376c6c=,gAAAAABn1x_lsW6pSxL9Ggky1jmWac0-tyhg4NpDIuAzGShW-L0j_cHJWbeJRvuR__ds7Ww_We4NZRTSuAI27-Kzb3gwH99-_Q==,8
Acer,2.6310987903317336,16,256,12.36036429397978,4.611901644450471,9912.491624645294,20da83692f8fd2b7941383ca2b0706a7f29b84b742b5c4480f43bce03aab1f11,gAAAAABn1x_lenglgftkCIXcVSKHBouJ_YTCgXDLqaiabHn4WAJ8SlNUzxiCYcgqAyI45uwR_fXNtaWNz58IJ4ltAOUGjRbNAZGvt01NxRN3RGUMYpYTePQ=,gAAAAABn1x_lLEyL2ML2mILqb5B53WZL6TSPZmpa-5mRsEKc5QWnElUfna9Jby_MNSorebTA_OBKos9Hpbz15PrDePlSJeZxzw==,16
Lenovo,1.8521425509494995,32,1000,16.276046121059167,4.277260797666916,32801.64628030737,a166ef232bb8fe9b718ec02934b7ae843c9a54f0cb3e780d0ec0c7343dcbe94a,gAAAAABn1x_lDLnJFGVqabrqY0v815PRIZHgu6yZDuaHH147iZz4P4JU8azD0Vjf2aKeSxAqHnwY2vbxC1HMg0eQ-VgF0giFsqkg5xYyrQMUD4fSnJIsKeI=,gAAAAABn1x_l_neZ4Qve8AWlv2uVYjGrtYXOmCMKowyJiX364LgIUrygmtizb_Uc-8V7UnN17uaFOojELEtAs4EgVSqe1lCeCA==,32
Acer,1.9409674662655585,32,256,15.852739907381231,4.182587690675285,10174.195207302795,dad529924f59169af1353c38bc3b3c6fbfea4f6a096a4afad994cb8d54caddd1,gAAAAABn1x_lbUWH1lpu4G6rIMp7n_WgD1Qz6ntWQO9b1Y1cDclo_lO-n7hgLl67tDVkg-dRMqDxw6fxHY2EStBQBdjRmhgnx7OhUiD2Vlb0648orBWcTNM=,gAAAAABn1x_lH-XXU93ithXfMemerrUuPWaphcXkazAgyX-MYGOugkLPXtlyaZz2XzRnAZwLGrpLlin0xV_DRUWA6u-qOXZ5mA==,32
Dell,2.7459194318486992,32,256,15.06291447474604,3.453173556802548,10325.364732735776,36a79cb64e6a556c7fe1f8828546a70ff50654e5fce7963737899e33ebbf95e0,gAAAAABn1x_l4_UNJ_ZQJ7LlJdiDo6RRu_dJuybnNOraj43JE7frlvKZnkGUHXywgnKgtUhxa6G6HuzBQKmKUIUDUzi43BHuIfJe3-CVmoY-SVuxI9mxTdo=,gAAAAABn1x_lzLLJvr4qegG2qqs-ACANRsExPTUvlrMncLLE1A68KRNj5Dh7lzdGNgvLx_ZdeZnN1ZcxTfWaXBeXD4gtXJ7e7g==,32
HP,2.5473136237613696,4,256,14.750175116511237,4.081416670902235,9221.138434690329,5117640f2a737f124847e18d716399a1cb47082b202aefa3c3290f0185efb0cf,gAAAAABn1x_leqxP1IerJ9yyUCttHIGNbgcDBTvf4534o71tR_8mj44e18PLVGeIEbjB0P4jJM9lxqQNUm3OxOWE7UWqajVJJNddhWcyWYeNOk8TfwhALSg=,gAAAAABn1x_lrhbsNZEZtjr7gxT2GiHZTXLoaMATEciRgLeBtVTfZCgVCbKemO0GB3UpLrp5ijGgZ7u9T1WbYBvq-Vj3ASBD-Q==,4
Asus,3.78711475267025,16,256,12.89929799160722,3.658287104100749,10233.785822237818,4495eba2f9fb5bfa52d53962e6cfad51673111e4f0716b8383fa1e7c98d22c1c,gAAAAABn1x_lhiUQGLYCIpBH45Tn-UIuIEpwUF6Vt3vGFTklxsaFEyjhgFMHH9vAAmKVdxFGdPybwmfi5PirJCuGhK8RPqRO29SannzVl9IiZCZolZ1_q2Y=,gAAAAABn1x_lsk_N6R-IFuBH3Xunz6v1p057N5dfP8BmTxYka9zObEzca4Qgtj1Nxa1-hPDf1RPDpfI73-0BGSVxRbQLywsyFg==,16
Dell,2.4059847477915826,32,256,15.898464709790185,2.648751584559587,10333.321560418655,2cf58ce9b5f77c5d5bfaacd02ba1249785d6a4776bdddcfdff334675f38b2e12,gAAAAABn1x_lhCFJqI_6SZ_unhhHlzEr0zAgHEGCdcCApz7MA2H8bDgGLjuT2VT2PcqvnqbObOqzZSBq2Fm4aa1anTxGezyRDQoSPx0NSYDNFmsyc5A0bOo=,gAAAAABn1x_l_TWbityfqxixnvDTwp0C4cqsgTDNjV2JBL_x8cHL5UfSmVEOYw4I6OZnWT6yXAd1me20qbYEBPi0gp6TQOjpRA==,32
Asus,2.951470875695109,32,256,14.009092768878403,2.625765103223152,10781.539201207572,b3aacc196fca93e062f2e212b276e7c3f8177e2a6435b41dd439248a8e37deb7,gAAAAABn1x_lT_1wh1OyUZJ2e0VQk_RpUgmNJby9hBz0guKTKHGcbCdaeUtkpoV3Rkg4GDBg4X3cCywcwXgjEc8T0WhSIg64N-z0AZDv8XW6Av_YxejkJ3U=,gAAAAABn1x_le9MP5IhaHXUDwYlmS5wt82C6CAzqfsF5p-ZlFaGlqS1T__Ew27Rnn3z4HAT0tbNMuG4Q4CEq8yEIdndGxlT46w==,32
HP,3.080660719798826,32,512,11.425349455347712,2.8891760206258503,18167.2998292549,c9d5ca3808062fe1a2d129d9d871dcee74ace265c16d50473804763adee3cfc4,gAAAAABn1x_lyZQTlpD05W5NQJi4ISP8RiUKBRAJNwDTtTD2-Pw5hqPmJMw6JMmJYjmfkYw0nZ7Fg66d-ra7x1m-D43dSt-nNYbUvLB00egzLivrBG6hQ1U=,gAAAAABn1x_lNUJRG4ADVsDlmy-MGG9fmjZGrQAypYB0_sptFy8ESN8IvcXKzz5YfMu4IjOCb2n6VpfDrHvcf8wjHha46VBvaQ==,32
HP,1.532736141470834,4,1000,12.87717896513078,4.73240801290944,31381.405548006263,87738d99784dd64fde186fbaac9e867337bc1351a39704e236786aa4ebc8e70a,gAAAAABn1x_lF5-21GllAR_TgXxezkveGD48VRzWDjBFny0vukMQfqehpV9REJEP0ATi5fS0sVK9DjMVbNTh1orj1iqX3kZ7JiyqkFyPcdFiBBRNOTHS-3w=,gAAAAABn1x_lY6LsQ8y-64GjFB8y9fY2-8NbMSH5Z345poOREtg2y_ZhwczAkbn2sMKTmwT_il_oEvD8-mwz68kicKO3E2L-yQ==,4
Dell,3.1588434300417765,4,512,16.611782591271965,3.642244521139178,17124.220074695466,e70393ae6553a7fcf02989c9245cad822883813eabeb61680087b7281388c076,gAAAAABn1x_lHRV92sRsept0khlG5QVwJ9cR_U0UgqITrj6jt4X2DR2n6ESxZrY7b3bGxsdu72goXuIt3j88E6zcVp4gB4kF3tTloBGDdQGes6cDUveKnek=,gAAAAABn1x_lTogvMjRdflCe-Zv0knfGroBrXcKfh_0H2V01OkR8KF5bjECfLgFy_OVKbAo7vGZ4MvSDSr2usA7yDLg5utN6WA==,4
